"Date(s)","Date de la mesure du min/max (TU)","Début(s) de saison(s)","Fin(s) de saison(s)","Débit (m³/s)","Rang","Qualification(s)","Fréquence au non dépassement"
"2004-10-30T00:00:00.000Z","2004-10-30T09:50:00.000Z","2004-09-01T00:00:00.000Z","2005-08-31T00:00:00.000Z","0.726","1","20","0.0106"
"1989-04-11T00:00:00.000Z","1989-04-11T14:46:00.000Z","1988-09-01T00:00:00.000Z","1989-08-31T00:00:00.000Z","0.765","2","20","0.0319"
"1976-01-30T00:00:00.000Z","1976-01-30T09:22:00.000Z","1975-09-01T00:00:00.000Z","1976-08-31T00:00:00.000Z","0.766","3","20","0.0532"
"1975-01-27T00:00:00.000Z","1975-01-27T13:16:00.000Z","1974-09-01T00:00:00.000Z","1975-08-31T00:00:00.000Z","0.969","4","20","0.0745"
"1992-02-14T00:00:00.000Z","1992-02-14T23:57:00.000Z","1991-09-01T00:00:00.000Z","1992-08-31T00:00:00.000Z","1.06","5","20","0.0957"
"2001-12-29T00:00:00.000Z","2001-12-29T11:41:00.000Z","2001-09-01T00:00:00.000Z","2002-08-31T00:00:00.000Z","1.12","6","20","0.117"
"2006-03-30T00:00:00.000Z","2006-03-30T14:18:00.000Z","2005-09-01T00:00:00.000Z","2006-08-31T00:00:00.000Z","1.17","7","20","0.1383"
"1980-03-26T00:00:00.000Z","1980-03-26T17:57:00.000Z","1979-09-01T00:00:00.000Z","1980-08-31T00:00:00.000Z","1.28","8","20","0.1596"
"1981-03-24T00:00:00.000Z","1981-03-24T19:36:00.000Z","1980-09-01T00:00:00.000Z","1981-08-31T00:00:00.000Z","1.28","9","20","0.1809"
"2010-11-13T00:00:00.000Z","2010-11-13T16:13:00.000Z","2010-09-01T00:00:00.000Z","2011-08-31T00:00:00.000Z","1.38","10","20","0.2021"
"1987-04-03T00:00:00.000Z","1987-04-03T10:04:00.000Z","1986-09-01T00:00:00.000Z","1987-08-31T00:00:00.000Z","1.43","11","20","0.2234"
"1997-02-25T00:00:00.000Z","1997-02-25T13:48:00.000Z","1996-09-01T00:00:00.000Z","1997-08-31T00:00:00.000Z","1.47","12","20","0.2447"
"2022-04-08T00:00:00.000Z","2022-04-08T10:06:00.000Z","2021-09-01T00:00:00.000Z","2022-08-31T00:00:00.000Z","1.50","13","20","0.266"
"1998-01-19T00:00:00.000Z","1998-01-19T01:25:00.000Z","1997-09-01T00:00:00.000Z","1998-08-31T00:00:00.000Z","1.55","14","20","0.2872"
